priority,company_name,work_permits,location_hq,employees,revenue_msek,contact_name,contact_title,contact_linkedin
Tier 3 - Standard,Paradox Interactive Ab (Publ),21,Stockholm,181.0,2272.0,,,
Tier 3 - Standard,Astrazeneca Ab,21,Södertälje,7543.0,225240.0,,,
Tier 3 - Standard,Gyllene M:N Ab,21,Stockholm,,,,,
Tier 3 - Standard,Dek Technologies Sweden Ab,21,Kista,69.0,269.0,,,
Tier 3 - Standard,Giesecke+devrient Mobile Security Sweden Ab,21,Stockholm,,,,,
Tier 3 - Standard,Acne Studios Ab,20,Stockholm,254.0,2158.0,,,
Tier 3 - Standard,Majority Sweden Ab,20,Stockholm,56.0,87.0,,,
Tier 3 - Standard,Rise Research Institutes Of Sweden Ab,20,Borås,2862.0,3805.0,,,
Tier 3 - Standard,Ica Sverige Ab,20,Solna,6981.0,107794.0,,,
Tier 4 - Lower Priority,Sinch Sweden Ab,19,Stockholm,451.0,14587.0,,,
Tier 4 - Lower Priority,Telenor Sverige Aktiebolag,19,Solna,1631.0,14097.0,,,
Tier 4 - Lower Priority,Platform 24 Healthcare Ab,19,Stockholm,124.0,158.0,,,
Tier 4 - Lower Priority,Precis Digital Ab,19,Stockholm,140.0,368.0,,,
Tier 4 - Lower Priority,Qliro Ab,19,Stockholm,215.0,584.0,,,
Tier 4 - Lower Priority,Tieto Sweden Ab,19,Solna,,,,,
Tier 4 - Lower Priority,If Skadeförsäkring Ab (Publ),18,Solna,2500.0,,,,
Tier 4 - Lower Priority,Xylem Water Solutions Global Services Ab,18,Sundbyberg,274.0,1153.0,,,
Tier 4 - Lower Priority,Google Sweden Ab,18,Stockholm,433.0,1958.0,,,
Tier 4 - Lower Priority,Blocket Ab,18,Stockholm,,,,,
Tier 4 - Lower Priority,Jour Bemanning I Sverige Ab,18,Stockholm,,,,,
Tier 4 - Lower Priority,Telia Sverige Ab,18,Solna,4862.0,34069.0,,,
Tier 4 - Lower Priority,Avl Mtc Motortestcenter Ab,18,Haninge,,,,,
Tier 4 - Lower Priority,Voi Technology Ab,17,Stockholm,259.0,742.0,,,
Tier 4 - Lower Priority,Mckh Gipsputs Ab,17,Stockholm,,,,,
Tier 4 - Lower Priority,Cc Service Ab,17,Stockholm,,,,,
Tier 4 - Lower Priority,Digital Route Ab,17,Stockholm,113.0,419.0,,,
Tier 4 - Lower Priority,Tobii Ab,17,Danderyd,318.0,518.0,,,
Tier 4 - Lower Priority,10 Chambers Ab,17,Stockholm,110.0,51.0,,,
Tier 4 - Lower Priority,The Boston Consulting Group Nordic Ab,17,Stockholm,1157.0,5850.0,,,
Tier 4 - Lower Priority,Arrowhead Game Studios Ab,16,Stockholm,101.0,961.0,,,
Tier 4 - Lower Priority,"Larsen & Toubro Infotech Sverige, Fi Lial T Lars",16,Stockholm,,,,,
Tier 4 - Lower Priority,New Starbreeze Studios Ab,16,Stockholm,142.0,205.0,,,
Tier 4 - Lower Priority,Tradedoubler Aktiebolag,16,Stockholm,54.0,192.0,,,
Tier 4 - Lower Priority,Soltia Ab,16,Stockholm,,,,,
Tier 4 - Lower Priority,Kanitas Ab,16,Stockholm,,,,,
Tier 4 - Lower Priority,Anocca Ab,16,Stockholm,,,,,
Tier 4 - Lower Priority,Södra Vanadistvätten Ab,15,Stockholm,,,,,
Tier 4 - Lower Priority,Aktiebolaget Trav Och Galopp,15,Stockholm,,,,,
Tier 4 - Lower Priority,Bosphorus Aktiebolag,15,Stockholm,,,,,
Tier 4 - Lower Priority,Evolution Services Sweden Ab,15,Stockholm,,,,,
Tier 4 - Lower Priority,Rengörare Näslund Aktiebolag,15,Stockholm,,,,,
Tier 4 - Lower Priority,Scania Cv Ab,15,Södertälje,,,,,
Tier 4 - Lower Priority,Fnz (Europe) Designated Activity Company Filial,15,Stockholm,,,,,
Tier 4 - Lower Priority,Apoteket Ab,15,Solna,2885.0,25389.0,,,
Tier 4 - Lower Priority,Btr Personnel Services Ab,15,Stockholm,,,,,
Tier 4 - Lower Priority,Betsson Technologies Ab,15,Stockholm,83.0,158.0,,,
Tier 4 - Lower Priority,Lendo Ab,14,Stockholm,,,,,
Tier 4 - Lower Priority,Arelion Sweden Ab,14,Stockholm,,,,,
Tier 4 - Lower Priority,Svea Bank Ab,14,Stockholm,,,,,
Tier 4 - Lower Priority,Effekt Svenska Ab,14,Stockholm,,,,,
Tier 4 - Lower Priority,Anyfin Ab,14,Stockholm,75.0,,,,
Tier 4 - Lower Priority,Swedq Ab,14,Stockholm,,,,,
Tier 4 - Lower Priority,Infor (Sweden) Ab,14,Kista,499.0,2512.0,,,
Tier 4 - Lower Priority,K Two Technology Consulting Ab,14,Stockholm,,,,,
Tier 4 - Lower Priority,Ramboll Sweden Ab,14,Stockholm,1416.0,2410.0,,,
Tier 4 - Lower Priority,"Citibank Europe Plc, Sverige Filial",14,Stockholm,,,,,
Tier 4 - Lower Priority,Fluido Sweden Ab,14,Stockholm,,,,,
