company_name,work_permits,location_hq,employees,revenue_msek,contact_name,contact_title,contact_linkedin
Instabox Group Ab,13,Stockholm,97.0,582.0,,,
Stockholm Eventsco Services Ab,13,Stockholm,,,,,
Lg Electronics Nordic Ab,13,Kista,59.0,2925.0,,,
Ringtail Interactive Ab,13,Stockholm,,,,,
Skg Stockholm Ab,13,Stockholm,,,,,
Hexaware Technologies Nordic Ab,13,Vallentuna,11.0,26.0,,,
Avanade Sweden Ab,13,Stockholm,162.0,652.0,,,
Nordic Green Food Ab,13,Stockholm,,,,,
Husqvarna Ab,13,Huskvarna,2657.0,22427.0,,,
Incontext Ab,13,Stockholm,,,,,
Åf-Infrastructure Ab,13,Stockholm,,,,,
Trustly Group Ab,12,Stockholm,327.0,1075.0,,,
Allianceplus Ab,12,Stockholm,,,,,
D & E Konditori Ab,12,Stockholm,,,,,
Traton Ab,12,Södertälje,210.0,,,,
Kth,12,Stockholm,,,,,
Air China Limited,12,Stockholm,,,,,
Total Allservice Sthlm Ab,12,Stockholm,,,,,
Tietoevry Tech Services Ab,12,Stockholm,,,,,
United Parcel Service Sweden Aktiebolag,12,Stockholm,,,,,
Storytel Sweden Ab,12,Stockholm,195.0,1955.0,,,
Dassault Systemes Ab,12,Stockholm,171.0,967.0,,,
Uppsala Universitet,12,Uppsala,,,,,
Public Clean I Stockholm Ab,12,Stockholm,,,,,
Polarium Energy Solutions Ab,12,Stockholm,144.0,1488.0,,,
Fastdev Ab,12,Stockholm,,,,,
Apsis International Ab,12,Stockholm,,,,,
Stegra Ab,12,Stockholm,,,,,
Accedo Broadband Ab,12,Stockholm,,,,,
Cepheid Ab,12,Stockholm,,,,,
Grillspaden Ab,12,Stockholm,,,,,
"Wallenius Wilhelmsen Ocean As, Filial Sverige",12,Stockholm,,,,,
Normative Ab,12,Stockholm,,,,,
Nynas Ab,12,Stockholm,,,,,
Tobii Dynavox Ab,11,Danderyd,318.0,518.0,,,
Daresay Ab,11,Stockholm,,,,,
Tech Mahindra Limited Indien Filial,11,Stockholm,,,,,
Telefonaktiebolaget Lm Ericsson,11,Kista,,,,,
Hemnet Ab,11,Stockholm,152.0,1396.0,,,
Umain Ab,11,Stockholm,,,,,
Wsp Sverige Ab,11,Stockholm,3660.0,5389.0,,,
Epiroc Rock Drills Aktiebolag,11,Nacka,2511.0,20600.0,,,
Arbetsförmedlingen,11,Stockholm,,,,,
"Stift The Stockholm Environment Institute, Sei",11,Stockholm,,,,,
Discovery Networks Sweden Ab,11,Stockholm,,,,,
Taipei Mission In Sweden,11,Stockholm,,,,,
Toca Boca Ab,11,Stockholm,207.0,1556.0,,,
Aktiebolaget Sandvik Coromant,11,Stockholm,3605.0,13505.0,,,
Stiftelsen Borgen 2 - British International Scho,11,Stockholm,,,,,
Mojang Ab,11,Stockholm,192.0,3591.0,,,
Max Burgers Ab,11,Luleå,,,,,
Einride Ab,11,Stockholm,208.0,240.0,,,
Elekta Instrument Ab,11,Stockholm,264.0,1251.0,,,
Nordic Transport & It Services Ab,11,Stockholm,,,,,
Stockholm International Peace Research Institute,10,Stockholm,,,,,
The Absolut Company Aktiebolag,10,Stockholm,,,,,
Intertek Semko Ab,10,Stockholm,,,,,
Ibm Client Innovation Center Sweden Ab,10,Malmö,115.0,283.0,,,
Hammarby Fotboll Ab,10,Stockholm,,,,,
Lagersupport Ab,10,Stockholm,,,,,
Nordic Taxi Och Gods Transport Ab,10,Stockholm,,,,,
Blueberry Innovations Sweden Ab,10,Stockholm,,,,,
Alva Labs Ab,10,Stockholm,,,,,
Bank Of China (Europe) S.A. Stockholm Filial,10,Stockholm,,,,,
Oracle Svenska Aktiebolag,10,Solna,401.0,1144.0,,,
Fabrique Stockholm Ii Ab,10,Stockholm,,,,,
Nytta Ab,10,Stockholm,,,,,
Seb Pension Och Försäkring Ab,10,Stockholm,,,,,
Itri Service Ab,10,Stockholm,,,,,
Silex Microsystems Ab,10,Stockholm,,,,,
Toteme Ab,10,Stockholm,,,,,
Uppsala University,10,Uppsala,,,,,
Direktstäd I Stockholm Ab,10,Stockholm,,,,,
Grabbarna Flytt Sweden Ab,10,Västerås,3087.0,17840.0,,,
Marshall Group Ab (Publ),10,Stockholm,,,,,
Funnel Ab,10,Stockholm,,,,,
Ubisoft Entertainment Sweden Ab,10,Malmö,759.0,924.0,,,
Bombardier Transportation Sweden Ab,10,Stockholm,,,,,
Fujitsu Sweden Ab,10,Stockholm,,,,,
